use_case_name,emissions_kgco2e,purpose_category,ethical_risk_score,creative_displacement_score,transparency_score,model_size
Medical_Triage_Assistant,0.004,essential,1,1,2,1500
Accessibility_Captioning,0.003,essential,1,1,4,900
Emergency_Dispatch_Support,0.006,essential,2,1,3,1200
Clinical_Summarisation,0.007,essential,2,2,2,1800
Climate_Forecasting_Model,0.010,essential,1,1,4,2200
Cybersecurity_Threat_Detection,0.008,essential,2,1,2,1400
Earthquake_Early_Warning,0.005,essential,1,1,5,1100
Drug_Interaction_Checker,0.004,essential,2,1,3,1300
Flood_Risk_Predictor,0.009,essential,1,1,4,1600
Wildfire_Spread_Predictor,0.006,essential,1,1,4,1200
Fraud_Detection_System,0.007,beneficial,2,1,2,1300
Translation_Assistant,0.006,beneficial,2,2,3,1200
Study_Tutor_Chatbot,0.006,beneficial,2,2,3,1200
Code_Assistant,0.008,beneficial,2,2,3,1800
Customer_Support_Bot,0.007,beneficial,2,1,3,700
Meeting_Minutes_Summariser,0.005,beneficial,2,2,4,900
Medical_Appointment_Booker,0.004,beneficial,2,1,4,650
Smart_Grid_Optimiser,0.009,beneficial,2,1,3,1600
Traffic_Flow_Prediction,0.008,beneficial,2,1,3,1400
Legal_Document_Drafter,0.007,beneficial,3,3,2,1500
Resume_Screening_Tool,0.005,beneficial,4,1,2,1100
Loan_Approval_Model,0.006,beneficial,4,1,2,1500
Predictive_Policing_Tool,0.008,beneficial,5,1,1,1400
Emotion_Analysis_For_HR,0.006,low_benefit,4,1,1,1200
Meme_Chatbot,0.010,low_benefit,3,5,4,2000
AI_Art_Generator,0.012,low_benefit,3,5,3,1600
Video_Filter_App,0.009,low_benefit,2,4,4,1100
Personal_Fitness_Coach_AI,0.008,low_benefit,2,3,4,1000
Social_Media_Content_Ranker,0.012,low_benefit,3,3,1,1800
AI_Music_Composer,0.010,low_benefit,2,5,3,1400
AI_Journalist_Replacer,0.009,low_benefit,3,5,2,1600
Influencer_Content_Generator,0.011,low_benefit,3,4,3,1500
Smart_City_Surveillance,0.010,harmful,5,1,1,2000
Deepfake_Voice_Tool,0.011,harmful,5,3,1,1400
Misinformation_Bot,0.009,harmful,5,2,1,1000
Voter_Suppression_AI,0.010,harmful,5,2,1,1200
Targeted_Harassment_Tool,0.008,harmful,5,2,1,900
Autonomous_Weapon_Targeting,0.015,harmful,5,1,1,2500
Nonconsensual_Deepfake_Generator,0.020,harmful,5,5,1,2000
High_Emission_Novelty_Chatbot,0.500,low_benefit,3,4,3,5000
